,title,year,month,genre,duration,country,language,budget,total_gross,net_income,critic_reviews,user_reviews,metascore,meta_hit
26696,L'ultimo dei Mohicani,1992,12,"Action, Adventure, Drama",112,USA,"English, French, North American Indian",40000000,75505856,35505856,99.0,444.0,76.0,1
26699,Ragazze vincenti,1992,7,"Comedy, Drama, Family",128,USA,English,40000000,132440069,92440069,64.0,223.0,67.0,0
26705,Arma letale 3,1992,10,"Action, Crime, Thriller",118,USA,English,35000000,321731527,286731527,87.0,157.0,40.0,0
26712,The Living End,1992,8,"Comedy, Drama",81,USA,English,22769,692585,669816,16.0,18.0,65.0,0
26716,L'olio di Lorenzo,1992,1,Drama,129,USA,"English, Italian",30000000,7286388,-22713612,32.0,79.0,80.0,1
26754,Stoffa da campioni,1992,10,"Comedy, Drama, Family",104,USA,English,10000000,50752337,40752337,32.0,60.0,46.0,0
26773,Mio cugino Vincenzo,1992,8,"Comedy, Crime",120,USA,English,11000000,64088552,53088552,53.0,258.0,68.0,0
26786,Gli strilloni,1992,4,"Drama, Family, History",121,USA,English,15000000,2819485,-12180515,33.0,303.0,46.0,0
26789,La notte e la città,1992,3,"Comedy, Crime, Drama",105,USA,English,20000000,6202756,-13797244,17.0,37.0,61.0,0
26816,Giochi di potere,1992,10,"Action, Thriller",117,USA,English,45000000,178051587,133051587,62.0,154.0,64.0,0
26819,La casa nera,1991,11,"Comedy, Horror, Mystery",102,USA,English,6000000,31347154,25347154,150.0,166.0,57.0,0
26821,Cimitero vivente 2,1992,8,"Fantasy, Horror",100,USA,English,8000000,17092453,9092453,51.0,130.0,35.0,0
26827,I protagonisti,1992,11,"Comedy, Crime, Drama",124,USA,English,8000000,21706101,13706101,89.0,197.0,86.0,1
26828,La mia peggiore amica,1992,5,"Drama, Thriller",90,USA,English,3000000,1829804,-1170196,34.0,60.0,51.0,0
26856,Red Rock West,1993,5,"Crime, Drama, Thriller",98,USA,English,8000000,2502551,-5497449,56.0,92.0,79.0,1
26859,Le iene,1992,10,"Crime, Drama, Thriller",99,USA,English,1200000,2889963,1689963,205.0,1163.0,79.0,1
26866,In mezzo scorre il fiume,1992,10,Drama,123,USA,English,12000000,43440294,31440294,55.0,165.0,68.0,0
26882,Scent of a Woman - Profumo di donna,1992,2,Drama,156,USA,English,31000000,134095253,103095253,62.0,414.0,59.0,0
26883,Scuola d'onore,1992,9,Drama,106,USA,"English, Hebrew, French",18000000,14715067,-3284933,23.0,95.0,65.0,0
26909,Inserzione pericolosa,1992,8,"Drama, Thriller",107,USA,English,16000000,48017402,32017402,70.0,108.0,63.0,0
26911,Sister Act: Una svitata in abito da suora,1992,1,"Comedy, Crime, Family",100,USA,English,31000000,231605150,200605150,32.0,136.0,51.0,0
26913,I sonnambuli,1992,4,"Fantasy, Horror",91,USA,English,15000000,30524763,15524763,85.0,136.0,38.0,0
26914,I signori della truffa,1992,1,"Comedy, Crime, Drama",126,USA,"English, Russian, Chinese",35000000,105232691,70232691,68.0,128.0,65.0,0
26919,South Central - Zona a rischio,1992,9,"Crime, Drama",98,USA,English,4000000,1373196,-2626804,9.0,18.0,64.0,0
26967,Toys - Giocattoli,1992,5,"Adventure, Comedy, Drama",118,USA,English,43000000,23278931,-19721069,30.0,161.0,40.0,0
26991,Gli spietati,1992,2,"Drama, Western",130,USA,English,14400000,159157447,144757447,128.0,593.0,85.0,1
26992,I nuovi eroi,1992,7,"Action, Sci-Fi",102,USA,English,23000000,36299898,13299898,105.0,157.0,35.0,0
27016,Fusi di testa,1992,2,"Comedy, Music",94,USA,"English, Cantonese",20000000,183097323,163097323,76.0,200.0,57.0,0
27063,La famiglia Addams 2,1993,1,"Comedy, Fantasy",94,USA,English,47000000,48919043,1919043,64.0,144.0,62.0,0
27066,L'età dell'innocenza,1993,9,"Drama, Romance",139,USA,"English, Italian",34000000,32255440,-1744560,73.0,186.0,90.0,1
27093,L'armata delle tenebre,1992,3,"Comedy, Fantasy, Horror",81,USA,English,11000000,11502976,502976,250.0,658.0,59.0,0
27128,A Beverly Hills... signori si diventa,1993,10,"Comedy, Family",92,USA,English,25000000,57405220,32405220,21.0,73.0,37.0,0
27143,Ultracorpi - L'invasione continua,1993,8,"Horror, Sci-Fi",87,USA,English,13000000,428868,-12571132,73.0,93.0,65.0,0
27148,Bopha!,1993,9,Drama,120,USA,"English, Afrikaans",12000000,212483,-11787517,5.0,13.0,68.0,0
27150,Patto di sangue,1993,8,"Crime, Drama",180,USA,"English, Spanish, Arabic",35000000,4496583,-30503417,16.0,138.0,47.0,0
27154,Bronx,1993,1,"Crime, Drama, Romance",121,USA,"English, Italian",22000000,17287898,-4712102,53.0,223.0,80.0,1
27156,CB4,1993,3,"Comedy, Music",89,USA,English,6000000,17953778,11953778,22.0,24.0,49.0,0
27161,Carlito's Way,1993,12,"Crime, Drama, Thriller",144,USA,"English, Spanish",30000000,63851527,33851527,106.0,338.0,65.0,0
27184,Teste di cono,1993,7,"Comedy, Sci-Fi",88,USA,English,33000000,21274717,-11725283,40.0,101.0,49.0,0
27187,Cool Runnings - Quattro sottozero,1993,10,"Adventure, Comedy, Family",98,USA,"English, German, Russian",14000000,154856263,140856263,52.0,118.0,60.0,0
27192,La ragazza della porta accanto,1993,4,"Drama, Thriller",89,USA,English,6000000,13609396,7609396,40.0,88.0,34.0,0
27201,La metà oscura,1993,8,"Horror, Mystery, Thriller",122,USA,English,15000000,10611160,-4388840,96.0,82.0,53.0,0
27204,Dave - Presidente per un giorno,1993,5,"Comedy, Romance",110,USA,"English, Spanish",28000000,63270710,35270710,55.0,146.0,76.0,1
27205,La vita è un sogno,1993,2,Comedy,102,USA,English,6900000,7993039,1093039,171.0,478.0,78.0,1
27211,Demolition Man,1993,1,"Action, Sci-Fi, Thriller",115,USA,English,57000000,58055768,1055768,114.0,278.0,34.0,0
27249,Cowgirl - Il nuovo sesso,1993,5,"Comedy, Drama, Romance",106,USA,"English, German",8000000,1708873,-6291127,26.0,50.0,28.0,0
27272,Bagliori nel buio,1993,6,"Biography, Drama, Fantasy",109,USA,English,15000000,19885552,4885552,30.0,116.0,42.0,0
27275,Il socio,1993,10,"Drama, Mystery, Thriller",154,USA,English,42000000,270248367,228248367,64.0,191.0,58.0,0
